Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
2016,SBC,Quinsam River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Direct,0.89,0.13,0.12745098,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.88,0.07,0.073684211,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",Estimates available for both pNOB and pHOS.,,,#DIV/0!,,0.694926189,,0.691750947,,,1979-2018,2005-2018,"1985, 1998-2001, 2008-2009"
2017,SBC,Quinsam River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Direct,0.96,0.04,0.04,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Estimates available for both pNOB and pHOS.,,,#DIV/0!,,0.57759984,,0.570176855,,,1979-2018,2005-2018,"1985, 1998-2001, 2008-2009"
2010,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.37,0.05,0.119047619,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for natural spawners only. Brood stock assumed to have same proportion of natural origin contribution as the natural spawners.,,,#DIV/0!,,,,,,,1986-2018,2016-2018,1992-2017
2006,SBC,Nitinat River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.73,0.3,0.291262136,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1985-2005,1997-2018,"1987-1989, 2003-2017"
2009,SBC,Burman River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,,"2007-2013, 2017-2018","1987-1994, 1998-2001, 2003-2010, 2012-2017"
2016,SBC,Nitinat River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,0.908601782,,0.899234765,,,1985-2005,1997-2018,"1987-1989, 2003-2017"
2006,SBC,Sarita River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.93,0.07,0.07,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1989-2018,1997-2018,"1984-1993, 1995, 2001-2004, 2008-2016"
2006,SBC,Quinsam River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Direct,0.82,0.18,0.18,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.91,0.06,0.06185567,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",Estimates available for both pNOB and pHOS.,,,#DIV/0!,,,,,,,1979-2018,2005-2018,"1985, 1998-2001, 2008-2009"
2015,SBC,Puntledge River - summer,Summer,Puntledge,OPS,CK-083,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,DU20,BC East Vancouver Island Ocean Summer,EVI+GStr/Ocean/Summer,EVI+GStr,Partial Direct,0.52,0.48,0.48,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pHOS estimate available. pNOB was assumed to be equal to 1 minus pHOS.,Partial Direct,0.94,0.06,0.06,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,0.928357513,,0.90506758,,,1976-2018,2018,"1971, 1983, 1991, 1994, 1997, 2000, 2011, 2014"
2010,SBC,Burman River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.94,0.06,0.06,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,,"2007-2013, 2017-2018","1987-1994, 1998-2001, 2003-2010, 2012-2017"
2010,SBC,Sucwoa River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.94,0.06,0.06,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate  for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,,,"1986, 1996, 2000, 2002, 2004-2010, 2012"
1999,SBC,Nitinat River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.92,0.19,0.171171171,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.95,0.05,0.05,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1985-2005,1997-2018,"1987-1989, 2003-2017"
2006,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.45,0.34,0.430379747,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.95,0.05,0.05,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
2013,SBC,Burman River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.95,0.05,0.05,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,0.39651814,,0.396460384,,,,"2007-2013, 2017-2018","1987-1994, 1998-2001, 2003-2010, 2012-2017"
2004,SBC,Quinsam River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Direct,0.87,0.13,0.13,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.96,0.05,0.04950495,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",Estimates available for both pNOB and pHOS.,,,#DIV/0!,,,,,,,1979-2018,2005-2018,"1985, 1998-2001, 2008-2009"
1998,SBC,Nitinat River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.71,0.05,0.065789474,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1985-2005,1997-2018,"1987-1989, 2003-2017"
2000,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.67,0.27,0.287234043,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for natural spawners only. Brood stock assumed to have same proportion of natural origin contribution as the natural spawners.,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
2004,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.36,0.25,0.409836066,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for natural spawners only. Brood stock assumed to have same proportion of natural origin contribution as the natural spawners.,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
2012,SBC,Burman River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,,"2007-2013, 2017-2018","1987-1994, 1998-2001, 2003-2010, 2012-2017"
2008,SBC,Conuma River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.","Thermally marked. Otolith samples from Conuma are from fish taken from the river, so there is only one stratum, and pHOS = pHOB, for all the Conuma hatchery stocks. There are no swim ins, and the mark rate in brood is assumed to be the same as the rest of the river",,,#DIV/0!,,,,,,,1984-2005,2011-2018,"1988, 1991-1992, 1995, 2003-2017"
2005,SBC,Zeballos River,Fall,Zeballos School,PIP,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,Partial Direct,0.96,0.04,0.04,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,,2005-2007,"1990-1994, 1996-1998, 2000-2009"
1997,SBC,Stamp River - Robertson Creek,Fall,Robertson,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.53,0.13,0.196969697,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.88,0.03,0.032967033,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS estimate is based on Stamp River dead pitch sample and pNOB is based on Robertson Creek hatchery swim-ins sample. ,,,#DIV/0!,,,,,,,1977-2018,1997-2018,"1978, 2016"
2007,SBC,Stamp River - Robertson Creek,Fall,Robertson,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.86,0.22,0.203703704,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.92,0.03,0.031578947,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS estimate is based on Stamp River dead pitch sample and pNOB is based on Robertson Creek hatchery swim-ins sample. ,,,#DIV/0!,,,,,,,1977-2018,1997-2018,"1978, 2016"
2002,SBC,Quinsam River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Direct,0.79,0.21,0.21,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Direct,0.97,0.03,0.03,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",Estimates available for both pNOB and pHOS.,,,#DIV/0!,,,,,,,1979-2018,2005-2018,"1985, 1998-2001, 2008-2009"
2002,SBC,Stamp River - Robertson Creek,Fall,Robertson,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.87,0.27,0.236842105,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.97,0.03,0.03,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only a  swim-in sample for pNOB from Robertson Creek hatchery. Thermal mark estimate for brood only. Natural spawners assumed to have same proportion of natural origin contribution as the brood.,,,#DIV/0!,,,,,,,1977-2018,1997-2018,"1978, 2016"
2005,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.62,0.23,0.270588235,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,Partial Direct,0.97,0.03,0.03,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Thermal mark estimate for natural spawners only. Brood stock assumed to have same proportion of natural origin contribution as the natural spawners.,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
